mean_squared_error,root_mean_squared_error,coef_determination,R-squared,number_of_features,CVE-2020-17007_predict,CVE-2020-17007_v2_actual,CVE-2020-17007_v3_actual,CVE-2020-17007_v2_diff,CVE-2020-17007_v3_diff,CVE-2020-17000_predict,CVE-2020-17000_v2_actual,CVE-2020-17000_v3_actual,CVE-2020-17000_v2_diff,CVE-2020-17000_v3_diff,CVE-2020-17014_predict,CVE-2020-17014_v2_actual,CVE-2020-17014_v3_actual,CVE-2020-17014_v2_diff,CVE-2020-17014_v3_diff,CVE-2020-28351_predict,CVE-2020-28351_v2_actual,CVE-2020-28351_v3_actual,CVE-2020-28351_v2_diff,CVE-2020-28351_v3_diff,CVE-2020-25655_predict,CVE-2020-25655_v2_actual,CVE-2020-25655_v3_actual,CVE-2020-25655_v2_diff,CVE-2020-25655_v3_diff,CVE-2020-8268_predict,CVE-2020-8268_v2_actual,CVE-2020-8268_v3_actual,CVE-2020-8268_v2_diff,CVE-2020-8268_v3_diff,CVE-2020-8276_predict,CVE-2020-8276_v2_actual,CVE-2020-8276_v3_actual,CVE-2020-8276_v2_diff,CVE-2020-8276_v3_diff,CVE-2020-9300_predict,CVE-2020-9300_v2_actual,CVE-2020-9300_v3_actual,CVE-2020-9300_v2_diff,CVE-2020-9300_v3_diff,CVE-2020-14040_predict,CVE-2020-14040_v2_actual,CVE-2020-14040_v3_actual,CVE-2020-14040_v2_diff,CVE-2020-14040_v3_diff,CVE-2020-16121_predict,CVE-2020-16121_v2_actual,CVE-2020-16121_v3_actual,CVE-2020-16121_v2_diff,CVE-2020-16121_v3_diff,CVE-2020-24990_predict,CVE-2020-24990_v2_actual,CVE-2020-24990_v3_actual,CVE-2020-24990_v2_diff,CVE-2020-24990_v3_diff,CVE-2020-17082_predict,CVE-2020-17082_v2_actual,CVE-2020-17082_v3_actual,CVE-2020-17082_v2_diff,CVE-2020-17082_v3_diff,CVE-2020-17086_predict,CVE-2020-17086_v2_actual,CVE-2020-17086_v3_actual,CVE-2020-17086_v2_diff,CVE-2020-17086_v3_diff,CVE-2020-17081_predict,CVE-2020-17081_v2_actual,CVE-2020-17081_v3_actual,CVE-2020-17081_v2_diff,CVE-2020-17081_v3_diff,CVE-2020-17079_predict,CVE-2020-17079_v2_actual,CVE-2020-17079_v3_actual,CVE-2020-17079_v2_diff,CVE-2020-17079_v3_diff,CVE-2020-17078_predict,CVE-2020-17078_v2_actual,CVE-2020-17078_v3_actual,CVE-2020-17078_v2_diff,CVE-2020-17078_v3_diff,CVE-2020-17083_predict,CVE-2020-17083_v2_actual,CVE-2020-17083_v3_actual,CVE-2020-17083_v2_diff,CVE-2020-17083_v3_diff,CVE-2020-17084_predict,CVE-2020-17084_v2_actual,CVE-2020-17084_v3_actual,CVE-2020-17084_v2_diff,CVE-2020-17084_v3_diff,CVE-2020-4568_predict,CVE-2020-4568_v2_actual,CVE-2020-4568_v3_actual,CVE-2020-4568_v2_diff,CVE-2020-4568_v3_diff,CVE-2020-0409_predict,CVE-2020-0409_v2_actual,CVE-2020-0409_v3_actual,CVE-2020-0409_v2_diff,CVE-2020-0409_v3_diff,CVE-2020-17087_predict,CVE-2020-17087_v2_actual,CVE-2020-17087_v3_actual,CVE-2020-17087_v2_diff,CVE-2020-17087_v3_diff
11.1029,3.3321,-1.9018,-1.9018,all,6.0991,4.6,7.8,1.4991000000000003,-1.7008999999999999,4.7812,2.1,5.5,2.6812,-0.7187999999999999,8.6321,6.6,7.1,2.0321,1.5320999999999998,4.314,4.3,6.1,0.014000000000000234,-1.7859999999999996,5.197,4.0,6.5,1.197,-1.303,5.4347,5.0,7.5,0.4347000000000003,-2.0652999999999997,4.0387,2.1,5.5,1.9387000000000003,-1.4612999999999996,13.1769,4.0,6.5,9.1769,6.6769,6.32,5.0,7.5,1.3200000000000003,-1.1799999999999997,-1.2879,2.1,3.3,-3.3879,-4.587899999999999,4.8639,5.0,7.5,-0.1360999999999999,-2.6361,8.9888,7.5,9.8,1.4887999999999995,-0.8112000000000013,8.9888,7.5,9.8,1.4887999999999995,-0.8112000000000013,4.8615,5.0,7.5,-0.13849999999999962,-2.6384999999999996,8.9888,7.5,9.8,1.4887999999999995,-0.8112000000000013,8.9888,7.5,9.8,1.4887999999999995,-0.8112000000000013,7.5033,3.5,5.4,4.0033,2.1033,7.5033,9.0,8.8,-1.4966999999999997,-1.2967000000000004,3.4276,2.1,5.5,1.3276,-2.0724,7.091,4.6,7.8,2.4910000000000005,-0.7089999999999996,4.9031,7.2,7.8,-2.2969,-2.8968999999999996
1.8656,1.3659,0.5124,0.5124,100,5.563,4.6,7.8,0.9630000000000001,-2.237,4.7789,2.1,5.5,2.6789,-0.7210999999999999,5.5752,6.6,7.1,-1.0248,-1.5248,3.5803,4.3,6.1,-0.7197,-2.5197,4.5122,4.0,6.5,0.5122,-1.9878,5.2576,5.0,7.5,0.25760000000000005,-2.2424,5.1912,2.1,5.5,3.0912,-0.30879999999999974,4.5122,4.0,6.5,0.5122,-1.9878,5.3403,5.0,7.5,0.34030000000000005,-2.1597,5.2441,2.1,3.3,3.1441000000000003,1.9441000000000006,4.8905,5.0,7.5,-0.10949999999999971,-2.6094999999999997,6.9606,7.5,9.8,-0.5393999999999997,-2.8394000000000004,6.9606,7.5,9.8,-0.5393999999999997,-2.8394000000000004,4.5073,5.0,7.5,-0.49270000000000014,-2.9927,6.9606,7.5,9.8,-0.5393999999999997,-2.8394000000000004,6.9606,7.5,9.8,-0.5393999999999997,-2.8394000000000004,6.9559,3.5,5.4,3.4558999999999997,1.5558999999999994,6.9559,9.0,8.8,-2.0441000000000003,-1.844100000000001,3.8539,2.1,5.5,1.7538999999999998,-1.6461000000000001,5.4169,4.6,7.8,0.8169000000000004,-2.3830999999999998,4.8315,7.2,7.8,-2.3685,-2.9684999999999997
1.8154,1.3474,0.5255,0.5255,200,5.634,4.6,7.8,1.0340000000000007,-2.1659999999999995,4.7536,2.1,5.5,2.6535999999999995,-0.7464000000000004,5.6525,6.6,7.1,-0.9474999999999998,-1.4474999999999998,3.3349,4.3,6.1,-0.9650999999999996,-2.7650999999999994,4.5174,4.0,6.5,0.5174000000000003,-1.9825999999999997,5.3035,5.0,7.5,0.30349999999999966,-2.1965000000000003,5.1604,2.1,5.5,3.0604,-0.3395999999999999,4.8708,4.0,6.5,0.8708,-1.6292,5.4725,5.0,7.5,0.47250000000000014,-2.0275,5.3093,2.1,3.3,3.2093000000000003,2.0093000000000005,5.1025,5.0,7.5,0.10250000000000004,-2.3975,6.9463,7.5,9.8,-0.5537000000000001,-2.853700000000001,6.9463,7.5,9.8,-0.5537000000000001,-2.853700000000001,4.4647,5.0,7.5,-0.5353000000000003,-3.0353000000000003,6.9463,7.5,9.8,-0.5537000000000001,-2.853700000000001,6.9463,7.5,9.8,-0.5537000000000001,-2.853700000000001,6.9383,3.5,5.4,3.4383,1.5382999999999996,6.9383,9.0,8.8,-2.0617,-1.8617000000000008,3.2738,2.1,5.5,1.1738,-2.2262,5.6889,4.6,7.8,1.0889000000000006,-2.1110999999999995,4.9004,7.2,7.8,-2.2996,-2.8995999999999995
1.7648,1.3285,0.5387,0.5387,300,5.6548,4.6,7.8,1.0548000000000002,-2.1452,4.8008,2.1,5.5,2.7007999999999996,-0.6992000000000003,5.6727,6.6,7.1,-0.9272999999999998,-1.4272999999999998,3.2107,4.3,6.1,-1.0892999999999997,-2.8892999999999995,4.5393,4.0,6.5,0.5392999999999999,-1.9607,5.2923,5.0,7.5,0.2923,-2.2077,4.9984,2.1,5.5,2.8984,-0.5015999999999998,4.7012,4.0,6.5,0.7012,-1.7988,5.5183,5.0,7.5,0.5183,-1.9817,5.1676,2.1,3.3,3.0676,1.8676000000000004,5.1261,5.0,7.5,0.1261000000000001,-2.3739,6.9564,7.5,9.8,-0.5435999999999996,-2.8436000000000003,6.9564,7.5,9.8,-0.5435999999999996,-2.8436000000000003,4.5548,5.0,7.5,-0.4451999999999998,-2.9452,6.9564,7.5,9.8,-0.5435999999999996,-2.8436000000000003,6.9564,7.5,9.8,-0.5435999999999996,-2.8436000000000003,6.9546,3.5,5.4,3.4546,1.5545999999999998,6.9546,9.0,8.8,-2.0454,-1.8454000000000006,3.1244,2.1,5.5,1.0244,-2.3756,5.811,4.6,7.8,1.2110000000000003,-1.9889999999999999,4.8916,7.2,7.8,-2.3084,-2.9083999999999994
1.7965,1.3403,0.5305,0.5305,400,5.6463,4.6,7.8,1.0463000000000005,-2.1536999999999997,4.8591,2.1,5.5,2.7590999999999997,-0.6409000000000002,5.6272,6.6,7.1,-0.9727999999999994,-1.4727999999999994,3.5308,4.3,6.1,-0.7691999999999997,-2.5691999999999995,4.578,4.0,6.5,0.5780000000000003,-1.9219999999999997,5.2856,5.0,7.5,0.28559999999999963,-2.2144000000000004,4.9765,2.1,5.5,2.8764999999999996,-0.5235000000000003,4.7236,4.0,6.5,0.7236000000000002,-1.7763999999999998,5.2288,5.0,7.5,0.22879999999999967,-2.2712000000000003,5.2494,2.1,3.3,3.1493999999999995,1.9493999999999998,5.0604,5.0,7.5,0.060399999999999565,-2.4396000000000004,6.8895,7.5,9.8,-0.6105,-2.9105000000000008,6.8895,7.5,9.8,-0.6105,-2.9105000000000008,4.6074,5.0,7.5,-0.39259999999999984,-2.8926,6.8895,7.5,9.8,-0.6105,-2.9105000000000008,6.8895,7.5,9.8,-0.6105,-2.9105000000000008,6.9336,3.5,5.4,3.4336,1.5335999999999999,6.9336,9.0,8.8,-2.0664,-1.8664000000000005,2.6769,2.1,5.5,0.5768999999999997,-2.8231,6.2026,4.6,7.8,1.6026000000000007,-1.5973999999999995,4.9065,7.2,7.8,-2.2935,-2.8934999999999995
1.7712,1.3309,0.5371,0.5371,500,5.9488,4.6,7.8,1.3488000000000007,-1.8511999999999995,4.8705,2.1,5.5,2.7704999999999997,-0.6295000000000002,5.9676,6.6,7.1,-0.6323999999999996,-1.1323999999999996,3.6196,4.3,6.1,-0.6803999999999997,-2.4803999999999995,4.6133,4.0,6.5,0.6132999999999997,-1.8867000000000003,5.2922,5.0,7.5,0.29220000000000024,-2.2077999999999998,5.0258,2.1,5.5,2.9258,-0.47419999999999973,4.7292,4.0,6.5,0.7291999999999996,-1.7708000000000004,5.1306,5.0,7.5,0.13060000000000027,-2.3693999999999997,5.1,2.1,3.3,2.9999999999999996,1.7999999999999998,5.1334,5.0,7.5,0.13339999999999996,-2.3666,6.9461,7.5,9.8,-0.5538999999999996,-2.8539000000000003,6.9461,7.5,9.8,-0.5538999999999996,-2.8539000000000003,4.6309,5.0,7.5,-0.3691000000000004,-2.8691000000000004,6.9461,7.5,9.8,-0.5538999999999996,-2.8539000000000003,6.9461,7.5,9.8,-0.5538999999999996,-2.8539000000000003,6.9663,3.5,5.4,3.4663000000000004,1.5663,6.9663,9.0,8.8,-2.0336999999999996,-1.8337000000000003,2.6349,2.1,5.5,0.5348999999999999,-2.8651,6.4699,4.6,7.8,1.8699000000000003,-1.3300999999999998,5.1702,7.2,7.8,-2.0298,-2.6297999999999995
